date,rating,review
20/10/2022,5 star rating,"I had to come back to Dishoom. The wait was about 45mins and and they were so kind to be handing out chai and wine. Our waiter was so nice and explained the menu. The food was sooo good! The naan was extra soft. The drinks were strong, as they should be  I will definitely be coming back. This location is convenient and close to bars/pubs and the theater."
7/11/2022,2 star rating,"We got to Soho and there was a long wait to get in this restaurant. I was so excited because I wanted to know if the hype of it all was represented in the food. When we went in I smelled all the aroma of something great as far as Indian food. Everyone seem to be having such a great time and the Decor was just very eclectic and homey. I will say everyone who worked there was super nice and the service was great. However, I did not like the food. I looked around and there was another couple at the other table across from us and it didn't appear that they liked the food either. We ordered the samosas and they were tiny and crunchy and not like a regular Samosa at all. Didn't like these and wouldn't order these again. I also ordered the butter chicken and I was not a fan of the butter chicken, it had another name on the menu but basically this is what it was...The chicken was fatty and had some skin on it and the sauce was gritty almost pasty. My friend got the lamb chops and they were over cooked. There was an OK flavor there but when you over cook lamb chops that is kind of a terrible thing. I got a drink and the drink was OK but nothing to write home about. The garlic naan was gross. It didn't have a garlic flavor at all.I think the atmosphere here  was far better than the food. My experience at another Indian restaurant here was far better than Dishoom."
19/8/2022,5 star rating,"On a visit to London, we stopped by Dishoom as it was highly recommended on the internet.  They have indoor and outdoor seating as of this review, and also free wifi.  The restaurant has two levels, and has gorgeous decor.  We were able to walk in and get seated immediately on a Friday late afternoon. We had the mango lassi:  nice yogurty mango drink.  Not too sweet, and topped with fennel seeds.  Not sure what the fennel seeds were for except decoration as it wasn't very edible.  Still very good, 4/5  Basmati rice: a bit dry but still edible.   3/5 Chicken berry britannia: oddly has cranberries in it.  Lots of chicken in it. 4.5/5 Chicken ruby:  creamy and rich with a nice hint of ginger.  4.5/5 Garlic naan: thin and crispy, dotted with lots of fresh garlic and made by hand.  Highly recommend! 5/5 Lamb samosas: wish they were bigger; they were tiny!  Thin crispy outer layer.  4.5/5 All in all, this place was pretty packed for a reason.  Great comfort food, very salty though."
3/10/2022,5 star rating,"Just fabulous from the setting to the instructive service to of course food and drink. Two fun non alcohol cocktails I enjoyed the sober Negroni with my spicy mutton. While it is deceptively large restaurant, there were still ques to get in right after opening."
22/7/2022,4 star rating,"Finally tried the famous Dishoom on a recent trip to London. I was prepared for a long line for dinner and I think in total it took about 45 minutes for my party of 1. While in line the passed out samples of their chai which was a great way to get ready for the meal. I was seated in the back courtyard which was perfect though I will say the action seems to be downstairs with hustle and bustle. For my meal I got the vegetable samosas (phenomenal!), garlic naan, and the chicken ruby. There were so many options to choose from I would've liked to split a few things with friends to really get a sampling. Overall a nice experience!"
11/8/2022,4 star rating,"Heard many raving reviews about this place and had to wait 30 mins to get a spot; it was solid but maybe didn't quite live up to the hype. The waiter recommended we each pick 3 items. I got the murgh malai, roomali roti, and kachumber. The chicken was tender and flavorful, and the roti was warm and yummy. Overall a solid choice!"
2/8/2022,5 star rating,"Dishoom !!! Yes the wait is worth it. We love eating at this Indian institution whenever we crave for this cuisine. Plates and drinks are solid! This time we had : CHAI- jeeeezus, it's the best ever! 5 stars OKRA FRIES - Fine lady's fingers for the fingers. (V) 5.90. 5 stars PAU BHAJI -A bowl of mashed vegetables with hot, buttered, home-made buns, Chowpatty style. . (V) (S) 6.10 3 1/2 stars HOUSE BLACK DAAL- A Dishoom signature dish - dark, rich, deeply flavoured. It is cooked over 24 hours for extra harmony. (V) 7.90 3 1/2 stars DISHOOM HOUSE CHAAT- Warm-cold, sweet-tangy, moreish. Golden-fried sweet potato covered with cool yoghurt, pomegranate, beetroot, radish and carrot. Tamarind drizzle and green chutney lift it nicely. (V) 6.90 5 stars Soooo good! DISHOOM CHICKEN TIKKA- A family recipe, using a marinade of sweet vinegar, not yoghurt. Laced with ginger, turmeric, garlic and green chilli. (S) 10.70 4  1/3 stars GUNPOWDER POTATOES- The seduction is in the tumble. New potatoes are smoky-grilled, broken apart, tossed with butter, crushed aromatic seeds and green herbs. (V) 6.90 (4 stars) SPICY LAMB CHOPS- Two chops of generous proportions. They lie overnight in a special marinade of lime juice, warm dark spices, ginger and garlic. Served pink, for juiciness, and blackened by the grill. (S) 15.90 (5 stars ) BIRYANI Slow-cooked, layered and aromatic, the Biryani traces its origins to Iran -- as does the old Bombay Café. A pot is to be shared, or kept as spicy contentment all for oneself. CHICKEN BERRY BRITANNIA Tempting and flavourful pot of chicken, ginger, garlic, mint, coriander and rice cooked together in the Kacchi style. An homage to Britannia's Chicken Berry Pulao, with cranberries. 13.90. 4 stars LAMB BIRYANI -NALLI NIHARI BIRYA Nihari - a famously hearty and robust dish made with tender shank of lamb layered with rice and caramelised onions ! This is a clear winner on the table ! (5 stars )get this!"
12/8/2022,4 star rating,"Dishoom came highly recommended by a friend. I didn't make a reservation because I figured it would be quick for a single person to get seated but I was wrong, it was still 30+ minute wait standing in line in the heat. The cocktails were delicious! I had the Fizz and the Cabana Colada which was amazing. The food was good but I think I set the bar too high. I got the veggie samosas which were good but nothing out of this world and I got the Veggie mash dish which came with a side of a roll. I would have preferred if it came with a side of Naan. I ordered that separately which was very tasty."
11/7/2022,5 star rating,"Came by for breakfast the other morning and it was a world class experience. Made a reservation for a table and my table was ready upon arrival. The dining room seemed to be split up into 3 sections, the lower level, the street level, along with an outdoor-esque area on the street level. The décor of the dining room felt like time travel to India with the smell of some incense? as well when entering. Waiter was fantastic guiding me through the menu. Started off with the bottomless chai and it was excellent. Very fragrant and strong. Had the wrestler's naan for breakfast and it was world class. The naan was super fresh and fluffy. The eggs were cooked to perfection, super thick egg whites and solid orange yolk. The bacon was cooked to perfection without being super salty and the sausage was also excellent without being too salty! Portions were generous too! They have free Wifi. £16 for breakfast after service and GST."
14/7/2022,4 star rating,"**July 2022: Friday Afternoon Visit** My friend and I had multiple friends who stated that Dishoom was a must stop and by sheer luck we noticed that this Dishoom was along our route from the British Museum to the Palace Theater. At noon we walked in and were taken downstairs to their enormous seating area. That wasn't the case when my friend and I walked back from the theater (there was a line that wrapped around the building for the dinner rush - 6pm ish) If I were to describe Dishoom it's like a very trendy upscale Indian Restaurant that sort of gives me Cheesecake Factory feels (in terms of it's grandness and over the top space and atmosphere). After reviewing the extensive menu we decided on the following to share. Meal Pau Bhahi £5.90: Bowl of Mashed Vegetables with Hot Butter, homemade buns - I loved this as a starter! The buns were luxurious and buttery and a great way to pile on the veggie spread. Chicken Ruby £13.50: Tastes like Chicken Tikki Marsala - Solid and I would order this again.     Garlic Naan £3.90: It was okay, not as light and fluffy as I've had at other places, but I still used it to dip into the various curries Tandoori Roti £3.50: Didn't care for it. I'd pass Black Daal £7.50: I think this is a very hearty lentil curry. It's quite filling but among the three curry dishes this was my least favorite - not that it was bad, but the others were more of my taste. I think if I were to do this again I'd take this out of my order.   They charge an automatic 12.50 service charge (tip) Summary Overall, it's a very nice UK chain restaurant to visit. It's comfortable, well lit, accessible and classy."
4/8/2022,3 star rating,"House chaat 8.65/10- sweet potato with the crisps was a great texture and flavor. Really enjoyed how they had chutney included House chai 7.32/10- it was okay, not as much of a chai flavor as expected. Way too hot when it first came out Masala fish 7.34/10- this was good, very spicy but flavorful but only due to the spices tbh. The fish was huge also Kebab 5.64/10- good however could use a lot more flavor and was also kind of small. The onions in compliments added a lot to the kebab Chicken 7.32/10- this was really good and juicy however it was also a bit bland, wish it had more spice to it Basmati rice 7.43/10- pretty average rice"
20/7/2022,4 star rating,"Chocolate chai 6.87/10- so delicious! Great blend of ginger, cinnamon, and chocolate. Served warm only. Only tasted like a mix of chai and Cadbury hot chocolate. wasn't a huge fan of the cocoa powder on top only because it made me cough a lot Basmati rice 4.32/10- tastes like regular basmati rice but honestly I thought it would have a bit more flavor as I'm normally used to basmati rice having a bit more Ruby chicken curry 8.12/10- sauce is very sweet and creamy; The pieces of chicken are very tender however I wish they had more chicken pieces in the curry although they are big and juicy. Pretty strong taste of ginger also Garlic naan 5.23/10- not as fluffy as I was hoping. Honestly a bit bland and too crispy. Was hoping for a more buttered and garlic naan than what was received. Great accompaniment for the curry and rice but I think I would try their roti next time! Okra fries 8.27/10- very crispy and the masala taste was delicious! Could taste the ginger and garlic paste which complemented the chewy okra well. Served warm and was very comforting. Really enjoyed it with all three sauces: green chutney, spicy red masala, and a sweet brown sauce Lemon soda 8.73/10- wait this was so good they gave it to us while waiting in line. Literally so refreshing and not too carbonated. Perfect for this heat wave Kheer 6.84/10- the top was carmelized sugar which I really liked because it reminded me of crème brûlée and  gave the dessert a brown sugar/custard taste to it which was great. The actually Kheer did not have as much flavor as I was hoping by itself minus the top layer. They also had a blueberry topping on it which I found interesting and a bit out of place, although tasty.. This is considered to be London's best Indian restaurant and according to many, London's best restaurant. The line is always very long roughly 30-40 people. Will definitely have to come back, looking forward to trying a few of their other specialty dishes"
15/9/2022,5 star rating,"Decided to come try out Dishoom while on a trip to London since it was one the ""must-try"" Indian restaurants in the city. We went to Covent Garden location as it was close to the area we were exploring. There was a long line to get in but it went by pretty past and they even served us House Chai while we waited which tasted great! I tried the Chicken Ruby with garlic naan. I asked the waiter for a dish similar to Butter Chicken and she mentioned that the Chicken Ruby was basically the same thing. While I enjoyed the dish, it did not taste like butter chicken and was actually very different. Forgot the name of the drink I got but it was delicious!"
21/6/2022,5 star rating,"WOW!!! If it is your final night in London, do not leave without dining at Dishoom. * Spicy Lamb Chops * Chicken Ruby * Raita * Kachumber * Garlic Naan * Peacock Cider Every single item we ordered was outstanding!!!! Everything. The cider included. The lamb chops stole the show. Thick, succulent, herb-spiced. I have never had lamb chops like this before. Even our waiter said these were his top 3 chops he has ever had. I would agree. You will want to eat all of the meat to the bone. The Chicken Ruby, their name for ""curry""  has tender, succulent chunks of chicken that has been marinated for 24+ hours in a nutty, butter sauce. There are no nuts (my friend is allergic) but the flavor is hearty and earthy. So good! Raita could have been a little thicker but the flavor made up for that. Kachumber reminded me of a greek salad but with cilantro (coriander) and green chili peppers. The lime brings a balances the dish and cuts the spice from the chili pepper nicely. While I have had better garlic Naan, it was not a disappointment. I washed everything down with a glass of Peacock Cider and hope to be able to find it back in the states. Beautiful interior decor that is modern, and stylish without being flashy. Perfect for a date or a night out with friends. On my next visit to London I will absolutely return to Dishoom."
20/6/2022,5 star rating,"Indian Flavors From Bombay with Love is Dishoom's signature phrase and with multiple locations in London, it's clear that Dishoom is a hit with locals and visitors alike Indian cuisine is the most cited must-try cuisines in London and I was glad we made reservations to Dishoom's Covent Garden location Lines were out the door our whole meal and reached 1.5 hours long and Dishoom has been on the scene for several years Their winning formula includes accessible dishes, stellar flavors, creative drinks and shareable plates perfect for big and small groups alike I enjoyed my dinner so much that I returned the next morning to try their signature breakfast naan and it was definitely a trip highlight Wrestler's Naan (Peppery Bacon, Sausage and Runny Yolked Egg) £10.50 / Prawn Koliwada £8.50 / Okra Fries £5.70 / Chicken Ruby £13.50 / Spicy Lamb Chops £15.90 / Gunpowder Potatoes £6.90 / Tila-Foi's Very Best Masala Fish £18.50 / House Black Daal £7.50 / Roomali Roti £3.50 / Mango & Fennel Lassi £4.40 / Rose & Cardamon Lassi £4.40 / Mango Kulfi £4.50 Dishoom Covent Garden (London, United Kingdom) Dishoom accepts credit cards and is mainly indoor dining with a small section of patio."
14/6/2022,5 star rating,"This Indian restaurant chain, is one of the best Indian restaurants I have been to in all my travels... They have various locations throughout London.  we dined in Covent gardens very popular area, people love this restaurant we waited an hour for our table but, it was well worth it ...the tikka chicken was delicious the prawns , the sweet potato with yogurt and pomegranate seeds so flavorful.  we had a little bit of everything and then for dessert... yum!  we had the warm dark chocolate pudding and one of their ice cream pistachio Kulfi( basically ice cream on a stick) but so delicious. I wish I could package this restaurant up and take it back to the states with me... i'll be back in three weeks and you can better believe I will make my reservation now..."
8/6/2022,5 star rating,"THIS INDIAN FOOD, WOW!! I had 3 traveller friends recommend this restaurant so I knew I had to try it! There was a long line out the door, but wait time was only 30 minutes. The girl doing check ins was told my MIL injured her leg, so she and my FIL were allowed to sit at the bar to relax until a table became ready. So considerate! We enjoyed every bite of our food. We ordered: Rose lassi (unique) Chaat Gunpowder potatoes Ruby chicken Matter paneer Vegetarian biryani (unique) Desserts: kneer (has blueberry in it) and chili brownie and ice cream (unique) The service was knowledgeable and attentive. I wish I could try everything off their menu! If I'm ever back in the London area I'll be back for more!"
16/9/2022,4 star rating,"We went here with a friend and had a great time.  The line is pretty ridiculous, but it moved quickly, and I appreciated that they brought refreshing drinks out to us while we waited.  Inside, it was packed and lively.   The food was great.  We definitely over ordered.  The most surprising thing was a dish with jackfruit.  Not surprising was that their famous black daal was fantastic.  Worth the line."
1/7/2022,5 star rating,"The line in Convent Garden at around 9 pm only took us 45 minutes, way better than their busiest location near Carnaby if I may say. This is also a newer and bigger location so the ambience is amazing. We ordered the chicken ruby, chicken berry biryani, veggie samosas, and garlic naan. Everything was amazing!! It was worth the wait and hype. 5/5."
30/10/2022,4 star rating,"Great indian fusion restaurant Not for the ones that looks for the authentic tase of India, but extremely good"
7/8/2022,4 star rating,"When I was in London a month prior, I had been unable to get a reservation at Dishoom and the line to get in was down the block. I made a point to make a reservation for my return trip, and even a few weeks out could only get a very late lunch or very early dinner reservation. This probably is somewhere it's better to come with a group so that you can try different things, but as a solo traveler I had the: CHEF'S COVENT GARDEN SPECIAL (TILA-FOI'S VERY BEST MASALA FISH) Aunty-ji's recipe, refined over decades with love. Two fillets of sea bream marinated in Tila-foi's masala with ginger-garlic, black pepper, lime juice, carrom seeds and red chilli. Griddled within a banana leaf and served to share. Eat with companionable Coconut Chaas. It says served to share but I definitely ate the whole thing myself. It was very flavorful and to the disappointment of the server, I did not eat it with the Coconut Chaas, but rather, plain. I found that there were so many spices and flavors in the fish that I did not want to drown it in a yogurt/sauce. I would love to try some of their more ""traditional"" dishes (that you would find on the menu at other Indian restaurants) so that I could do a comparison, but at the same time, why get something that you can get anywhere. I suppose this is why you need to come with a group (if you can get a reservation!). All in all I had a great experience here but am not sure that I'd wait in a long line (very good, but not amazing)."
21/8/2022,5 star rating,"Always the best food! I have always gone to Dishoom for dinner. On a recent trip to London, I was able to get there for brunch before leaving for the airport. Like everything else, the naan roll hit the spot. If I lived in London, I'd be here every week. Also shoutout to the chai...it's yummy!"
1/8/2022,5 star rating,"One of the best and most consistently great restaurants in London.  This is one of my regular go-to's and somewhere I like take people who are coming from out of town.  There are multiple locations each with a slightly different ambiance but the food is always good at each of them. My typical order includes the following: Prawn koliwada: This is a great starter that comes in a cute bowl filled with succulent prawns that come with some heat.  They are slightly crispy on the outside, juicy on the inside.  They pair well with any of the sauces and chutneys they bring to your table.  I like to mix the spicy and mild together (orange/red and green sauces) Garlic cheese naan: I mean, is there a better combination? The naan has a great cheese pull and is filled with chilli's for a perfect light kick.   Chicken tikka: no, this isn't chicken tikka masala.  This is grilled chicken thighs with some lovely seasoning and comes with a coriander (cilantro) and red onion garnish.  Simple but executed well 24 hour daal: do yourself a favour and order this.  These lentils have been stewing away for 24 hours and are a great component with your meal.  Creamy texture and flavourful, quite comforting.   Chilli chicken: my second favorite small dish.  This chicken packs quite some spice but it's a can't miss dish.  The chicken is crunchy and gently coated with a chilli sauce that isn't overbearing in terms off the amount.   So, you want to dine here? They only take reservations for larger groups which means you have to queue (wait in line) but it's absolutely worth it.  You can put your name in and grab a nice drink from the bar but do expect at least an hour wait so you can factor that in to when you arrive.   Happy eating!"
18/10/2022,3 star rating,"I was in London for 6 days and came twice to this restaurant. This speaks volumes for their food. The stars off are not for the food. The wait is 30 to 45 minutes, so be prepared. The food is outstanding - chicken tikka masala, mutton ruby, jackfruit biryani, garlic naan. 1 star off - Service is mixed. They are not as attentive, which is understandable as the restaurant is huge. 1 star off - They use this ridiculous QR code for payment and don't accept cash. This is unfortunate if you don't want to enter your credit card information through their website."
13/10/2022,4 star rating,"finally got to try dishoom which had been the top of my list for a while! id heard raving reviews so my expectations were high but first, context: i am a student in a budget and was dining with just another broke student, so price was a consideration. thus we had to choose our dishes wisely - vegetable samosa: 3/5. the taste was standard, but quite small. i expected maybe two samosas but each large, instead of four small ones. - the masala fish chef's special: 5/5. god, the star of the show. it was unique, wrapped in a bamboo leaf, packed with flavor and slightly crispy on the outside but tender on the inside. paired very nicely with the coconut chaas, which i LOVED (tasted like strawberry yogurt) - bowl of greens: 3/5. i mean, its just broccoli and snow peas, but they did the job of serving as a break from the savoriness - chicken tikka: 4/5. we ordered this after realizing that what we got was not enough. in terms of price, this was the best value. the chicken was tender and, though it is plain in color, PACKED with lots of spice, so have water ready. came with a side of red onion and parsley. overall service was a 5/5: our waitress was sweet and came to check on us several times but not in an annoying way. also the payment system is v high tech!"
31/8/2022,5 star rating,"Fresh, bursting flavors. Service and atmosphere exceptional. Okra, Ruby Chicken and Tikka chicken all exceptional. We never felt rushed, staff is fantastic!"
12/10/2022,3 star rating,"Nice restaurant but the food was a little underwhelming. We ordered a variety of dishes and everything was just okay. The menu is big and there are a lot of nice options. The service was great and the atmosphere was cool and dark. Overall, I am glad we tried but would maybe try the breakfast next time."
7/5/2022,5 star rating,"Dishoom is a London staple and one of the most must-try restaurants in the city. Come order delicious Bombay cuisine off the large, newspaper-styled menu while enjoying a casual, Indian summer breeze kind of vibe. My favorites are the house black daal (rich and complex flavors!), the chicken ruby, and the mutton pepper fry. The prawn koliwada also makes a nice appetizer, and the roti is great for dipping and soaking up various saucy dishes. If you come before noon, you can enjoy their fabulous breakfast instead. The Big Bombay has everything savory you could want, including scrumptious akuri (like spicy scrambled eggs) and masala beans. Meanwhile, if you want something sweet, go for the uttapam stack: pancake-like, topped with creamy-yet-fluffy, sweet-yet-slightly-tangy whipped yogurt and berries. Enjoy it all with the bottomless house chai. There are multiple locations, but this one in Covent Garden is my favorite for being casual yet comfortable and very spacious. There's often a line, but it moves quickly (e.g., less than 30 minutes -- and they'll bring complementary chai and mint tea while you wait!). Overall an excellent choice for tourists or locals alike!"
7/11/2022,5 star rating,"Loud, crowded and absolutely fun! Food was tasty and service smooth Decor is worth going there for"
9/7/2022,5 star rating,"One of the best meals I had in London. I would go back every single time. The food is delicious, the decor is amazing, and the servers know what they're talking about! There's plenty of seating so if you see a queue don't fret! It moves very quickly!!"
2/3/2022,4 star rating,"Been wanting to try out Dishoom for the longest time as it is the most reviewed place in London, insane considering there are other world-famous landmarks like the Big Ben and the British Museum. Made a reservation online and was seated promptly in a cute dome-shaped booth. - Chicken Ruby - This is essentially butter chicken and I really enjoyed the flavor which had hints of ginger in it. The chicken was also very tender and flavorful. My one complaint though is that the dish didn't come with naan or rice and this is given that you know, so you do have to order an extra side in order for the main dish to not be so salty. - Garlic Naan - Good relief from the saltiness of the chicken ruby. To be honest, you couldn't really taste the garlic bit of it, so I wouldn't say you have to order the garlic flavored naan. Overall, pretty solid Indian place. Not sure if it lives up to the hype of being the most reviewed place in London but the food was all-around very good. My other only complaint is that it was my friend's birthday and they gave us a dessert to celebrate with a candle. The dessert was good but it was not free which is what it usually is in America, so that was a bit disappointing but now I know."
15/4/2022,4 star rating,"Stopped by on a busy Friday evening - the wait was around 40 mins. Got to enjoy some complementary excellent cups of chai and some sherry while waiting in line which only made me hungrier and ready to sink my teeth into some delicious food. Our server was attentive and friendly and made some excellent recommendations and helped us navigate the menu. From the grill section, we ordered the murgh malai and spicy lamb chops - both succulent and well marinated. Didn't love the ruby chicken gravy - too tomato-EY for my taste but did appreciate how juicy and delicious the chicken was in it. The garlic naan was . The shrimp was a fun dish to try out as well - crispy and spicy. For the drinks, I tried (and loved) the 1948 sour. My husband had the India gimlet, which he enjoyed as well. For dessert, we tried the kala khata gola, which was an interesting, albeit inauthentic version of the traditional."
5/9/2022,5 star rating,Awesome food !!!!!! Reasonable price! Service and ambience - excellent Chai tea was pretty good too (not sure why people hype about it tbh. But I mean it's okay) Chicken Tikka with garlic naan are a must try !
7/11/2022,5 star rating,"Waited about 45 minutes in a Thursday night...they come around with a wonderful drink while you wait.  Worth it, very cool place with excellent food and service."
24/6/2022,5 star rating,"Definitely don't miss coming here when you come to London. There's a reason Dishoom's are remarkably well known and famous. The entire experience was incredible. It can take a bad day you've had and make into a spectacular day; even when if you have to wait up to an hour in the queue (which moves quick, the restaurant has multiple floors!). There's so much to explore on the menu, that my memory won't do it justice giving you the rundown on items ordered. Trust your wait staff, your senses and instincts when you come here. Don't be in a hurry and enjoy tasting so many dishes. The portion sizes were perfect! Spectacular experience."
10/7/2022,5 star rating,this place changed my life. definitely go if ur in london! make sure to get: -chicken ruby -chaat -okra fries - mango lassi - chai (!!!!) one note is that if you have allergies they will provide a comprehensive breakdown of each dish. however they will not allow certain modifications (e.g. exclusion of nuts)
5/10/2022,5 star rating,The best Indian food of my life! And great atmosphere and service and location. We arrived after attending the theatre and there was no line.
